review_text,rating,reviewer,date
이것만 바른다고 정말 좋아질까 했는데 남자친구한테 하니 성물 했더니 한번바르고 진짜 피부가 탱탱해지는거 보고 효과가 있구나 생각했어요 그리고 이것만 발라도 절때 건조하지 않아요 계속 덧바를때도 있고 처음부터 두껍게 펴 바르고 팩처럼 쓰기도 해요 ! 추석선물용으로 미리준비도 했네요ㅎㅎ 써도써도 줄지않는거같아요 ㅎㅎ 이번에 다낭 놀러가는데 이거 두개는 꼭 들고갈생각이에요 ㅎㅎ,5,고객,
"올인원이라 편하고 피부 촉촉하고 미니먼해서 좋아요 아깝지만 몸이 많이 건조할때는 꼭 꼭 발라주고 있어요. 얼굴은 당연히 바르구요~손 자주 씻는 직업인지라 너무 건조하고 가려울 정도라고 들고 다니며 바르기도 해요. 다시금 미니미 사이즈가 나왔으면 좋겠어요^^ 얼굴뿐만 아니라 손부터 전신까지 수시로 바를 만큼 제피부에는 순하고 기능성제품 획득,독일 더마 테스트까지 통과했으니 이보다 더 좋을순없죠~쟁여두고 쓰고 있어요",5,고객,
"엄마를 위해 말들었단 아드님의 스토리를 보고,, 순한 아이크림이지만 온몸에 발라도 되는 크림이라고 해서 믿고 구매했습니다. 그렇게 덥더니..오늘부터 쌀쌀해져서 건조한 몸에 바르기 딱 좋습니다. 냄새는 아토베리어 크림과 비슷하며 그쓸데없는 지독한 억지향기 안나고 좋아요, 손에 먼저 발라보았는데 발림성도 좋고 촉촉하네요~!! 2개 다써보구 좋으면 재구매 할께요~!! (2024-09-21 16:54:50 에 등록된 네이버 페이 구매평)",5,고객,
광고보고 후기가 좋길래 사봣어요. 제품을 받고도 한참후에 개봉해서 썼어요. 원래 귀찮아서 후기 안쓰는데. 이 화장품. 정말 좋네요 일부러 다시 들어와서 후기남겨요. 강력 추천합니다,5,고객,
늘 만족하며 사용하고 있습니다. 이것저것 여러가지 바르지 않아도 되고 제품력도 뛰어나 이번에 시어머니랑 시누이에게 선물했어요.,5,고객,
두번째 구매입니다~ 포장도 친환경적이고 깔끔해요 화장하기전에 바르는데 밀리지도 않고 좋아요,5,고객,
제가 사용전 사진을 안 찍어놔서 후회하고 있어요 ㅠㅠ 사장님께서 어머님을 정말 많이 사랑하시나봐요. 그 사랑 나눠주셔서 감사합니다. 40대 중반에 급격히 늘어지는 피부 잡아주고 기미도 흐려지는것 같아요. 지금 사진 찍어두고 나중에 비교해보려구요. 그리고 제가 진짜 순한 화장품 아니면 트러블 일어서 못 쓰는데... 화장도 못하고 다닙니다 ㅠㅠ 이건 진짜 순해요! 이제품 계속 만들어주셔야되요!!,5,고객,
얼굴만 바르다 보니까 1년을 썼어요.. ㅎㅎㅎ 끈적이지도 않고 계절 상관없이 너무 잘 썼습니다! 1년을 쓰니까 단순 질려서ㅋㅋ 다른 크림 사서 썼은데ㅠㅠ 이거만큼 깔끔하지 못해서 다시 돌아왔습니다..ㅋㅋ 계속해서 쓸 수 있게 번창하시길 바랍니다!!,5,고객,
4번째 재구매입니다. 저보다 더 예민한 남편도 만족하며 같이 사용해요. 저희 집은 쭉… 썬플랜이에요.,5,고객,
평이 넘 좋아 고민하다 3개 샀어요. 역쉬~~스킨바르고 이거하나 듬뿍 바르고 잤는데 이 보숑함 부드러움 머죠? 끈적임도 없고~향도 넘 좋고♡크~하나는 친정 언니 줘야지~~♡,5,고객,
좋음 아주 좋음 익숙하고 편안한 향과 하나로 온몸이 보드라워져서 간편하고 만족스러움,5,고객,
우앙~~이제품 하나만 있으면 된다더니 진짜네요 저 늙어죽을때까지 변치말고 제발 함께해주세요!!!😂😂,5,고객,
이젠 스킨 로션 없어도 될만큼 이거 하나로만 써요,5,고객,
세번째구매 이만한게없어요 다름거쓰다가 다시 돌아왓어요 포장용기 좀 바꿔줫으면 합니다 펍핑도출시하면좋겟어요 너부좋아서 아이랑같이쓰구 수시로 얼굴에 발라줘요 차에두 놓구 헬스장락카두 뫃구 너무 든든해요 많이파세요~,5,고객,
후기가 좋아 5개 구매해서 쓰는중인데 만족합니다,5,고객,
발림성이 부드럽고 기름지거나 그렇다고 끈적이지도 않아서 너무좋아요~ 향도 허브향이라서 너무좋네요^^ 일단 사용한지 3일되서 더써봐야겠지만 아직까지는 만족합니다,5,고객,
피부는 케어 하고 싶은데 이것저것 바르기 너무 귀찮아서 구매했습니다. 보습력 짱짱하니 좋고 하나만 발라도 되서 너무 좋아요. 좀 더 써보고 계속 좋으면 이걸로 평생 정착할듯요 하하,5,고객,
재구매입니다. 대용량에 여름이면 휴대용도 있어서 좋아요. 부담없어 많이 쓰게 되네요. (2025-06-12 19:37:52 에 등록된 네이버 페이 구매평),5,고객,
계속 재구매해서 사용하고 있습니다. 간단하게 사용하고 효과도 좋으니까 또 구매할게요 (2025-06-10 22:19:26 에 등록된 네이버 페이 구매평),5,고객,
진짜 최고!!^^ 양도 많아서 든든해요 ㅎㅎ,5,고객,
몇년째 몇통을 쓰는지 모르겠어요~ (2025-06-09 09:33:51 에 등록된 네이버 페이 구매평),5,고객,
믿고 구매해 봅니다. 가볍고 간단하게 피부를 챙겨보고 싶어서 여러 제품 보다가 선택. 잘 쓸게요.,5,고객,
계속 이 제품만 사용하고 있어요.,5,고객,
N번째 구매입니다. 온가족 아이크림~~ 앞으로도 계속 바를꺼예요~~^^,5,고객,
잘 산것 같아요 생각보다 흡수 잘되고 끈적임 없이 촉촉해 맘에 듭니다,5,고객,
꾸준하게 계속쓰는제품 좋아요 (2025-06-03 11:48:52 에 등록된 네이버 페이 구매평),5,고객,
얼굴 전체를 바르김 좀 무겁네요 그래도 잘 사용중이네요 (2025-06-02 20:16:03 에 등록된 네이버 페이 구매평),5,고객,
사용한지 이제 한 사흘됐나봐요 씻고 다른거 안바르고 요것만 바르는데 이래도 되는거 맞나요~? 왜인진 모르겠는데 밤에 바르고 잤는데 아침에 얼굴 피부가 보들보들하네요. 아직까지 대대만족이예요,5,고객,
"하루만에 도착했고, 배송상태 양호합니다. 3년 째 선플랜 화장품만 쓰고 있고 한 번 사면 1년 화장품 값 굳어서 그냥 시원하게 한 번에 샀습니다. 선플랜에 쓰는 돈은 전혀 아깝지 않습니다. 이거 쓰고나서 피부가 한 번도 안 뒤집혔거든요. 개인적으로 대표님께서 천년만년 팔아주셨으면 하는 바람이 있습니다. 클렌징 제품도 구매했는데 진짜 이것만 쓸 겁니다. 제발 천년만년 팔아주세요.",5,고객,
별그램에서 보고 몇번을 살까 말까 고민하다 이번에 다이어트하며 피부에 탄력감을 주고싶은 마음에 구매했습니다 바른지 3일됐는데 솔직히 아직은 잘 모르겠지만 괜히 쫀쫀해질거같은기분~^^ 아들이 엄마를 생각하는 마음으로 만드셨다니 한번 믿고 사용해볼게요 그런데 다른건몰라도 씻고 요거하나 바르니 참 편하네요 이것저것 바르는 것이 귀찮은 저에겐 안성맞춤이예요 피부도 더 고와지고 팽팽해지길!! (2025-06-01 23:15:08 에 등록된 네이버 페이 구매평),5,고객,
피부가 좋아지고 좋아요 3번째 구매입니당 ㅎㅎ (2025-05-29 18:44:00 에 등록된 네이버 페이 구매평),5,고객,
세번째 구매합니다 싸고 순하고 얼굴목에 잘 바르고 있어요,5,고객,
만족해욤~~늘이용하는제품이예요,5,고객,
클렌저도 크림도 너무 좋아요,5,고객,
계속 재구매하고 있어요. 여러개 사서 주변에 선물도 하구요. 순하고 향도 별로 없어서 이것만 쓰게되요,5,고객,
용량도 맘에들고 향도 좋어요 (2025-05-22 19:07:49 에 등록된 네이버 페이 구매평),5,고객,
좋아요 신랑이 이것만쓴답니다,5,고객,
첨엔 그냥 바디크림 정도의 텍스처겠지하고 썼는데 바를수록 기분좋은 쫀쫀함이 느껴지네요 🧏🏻‍♀️ㅎㅎ,5,고객,
몇번째 주문인지 모르겠어요~사계절 사용하는 제품입니다^^ (2025-05-19 21:30:54 에 등록된 네이버 페이 구매평),5,고객,
항상 쓰는 제품 용량대비 가격도 적당하고 좋은 제품인것 같습니다. 친정 시댁 어머님들과 같이 쓰는 제품이라 한번에 5개씩 구매하는데 항상잘 쓰고 있습니다. 다음에도 재구매 의사 있음요 (2025-05-18 23:01:51 에 등록된 네이버 페이 구매평),5,고객,
무엇보다 아이크림을 로션 대신 얼굴 전체에 바를 수 있어서 너무 행복해요. 자극도 없고 순해서 민감한 피부인 딸과 함께 몇 년째 잘 사용하고 있어요.,5,고객,
하나만 바르면 건조하지 않을까 걱정 했는데 걱정안해도 되겠네요~~^^ 잘~쓰겠습니다 (2025-05-17 09:55:08 에 등록된 네이버 페이 구매평),5,고객,
속당김 없고 간편하게 이것만 발라도 얼굴이 시원하고 편안합니다.귀찮은 스킨케어가 편안해졌어요 (2025-05-11 10:55:18 에 등록된 네이버 페이 구매평),5,고객,
아직 사용전인이지만 얼굴에 목에 손에 잘 발라보렵니다 (2025-05-09 18:38:51 에 등록된 네이버 페이 구매평),5,고객,
인스타보고 고민하다샀어요 여러개를바르다 한개만바르니 첨엔 가벼운것같아 정말 아끼지않고푹푹바른지 5일이됐습니다 아침까지 촉촉하네요 계속사용해보려합니다 고민하지말고 사용해보세요 좋네요,5,고객,
두번째 구매입니다 이거 하나만 바르는데 트러블도 없고 좋습니다 다만 저번에 쓰면서 불편했던 점이 있었는데 인쇄된글자가 지워지는게 찝찝합니다 이부분이 개선되었으면 좋겠습니다,5,고객,
예전에도 사용했던 제품이에요 다른 제품들 돌고 돌다가 다시 왔습니다 믿고 쓸 수 있는 제품 감사합니다 예민한 피부인데 이 제품은 사용하고 한번도 트러블이 올라오거나 피부가 뒤집어진 적이 없어요 용량도 커서 안 살 이유가 없습니다 ㅎㅎ 제가 너무 건조한 피부고 느끼기에 엄청 촉촉한 건 아니여서 여러번 덧바르고 있어요 여름에 사용하기 더 좋은 제품인 것 같아요,5,고객,
매일 잘 바르고 있어요 한통만 사서 쓰다가 촉촉하고 잔주름도 옅어지는 기분이라서 3통 더 쟁입니다~ (2025-04-25 12:00:06 에 등록된 네이버 페이 구매평),5,고객,
고민하다가 샀는데 생각 외로 너무 괜찮아서 추가 구매 더해야겠어요! 번창하세요 :),5,고객,
만족합니다 트러블 없이 잘 쓰고 있어요^^,5,고객,
동생이 선물해줘서 써보고 좋아서 내 돈 내산했어요 (2025-04-19 17:37:41 에 등록된 네이버 페이 구매평),5,고객,
두번째 구입했어요 한번에 꽤 큰돈이라 여러통 못사고 한통씩만 사는게 아쉽지만 그래도 또 다 쓰면 찾아올게요,5,고객,
어느새 주기적으로 주문하게 되는 템이 됐어요 ㅎ 이제 엄마도 자꾸 사달라고 하셔서 ㅠㅠ 텅장.. 부담없이 막 바를 수 있고 하나만 발라도 마음이 놓여요 감사합니당 ㅎ,5,고객,
몇번째 재구매인지 모르겠다 나처럼 여러개바르는것도 싫어하고 매번새브랜드 찾아쓰는것도 싫어하는사람이 유일하게정착한 기본템 (2025-04-13 23:25:08 에 등록된 네이버 페이 구매평),5,고객,
용량이 많아서 좋구요 듬뿍발라도 끈적임이 없습니다 청소년 자녀와 함께 사용하고있어요 재구매입니다 (2025-04-13 10:07:22 에 등록된 네이버 페이 구매평),5,고객,
"하도 광고가 나와서 스토리의 진정성이 궁금했는데 텍스처가 맘에 듭니다. 전성분을 다 확인해보지는 않았는데 그냥 하나하나 찾아보고 따져보기 귀찮아서, 어머니 위해서 만들었다는 그 얘기 믿고 바르려고 합니다. 이틀 발랐는데 느낌 좋네요. (2025-04-11 10:28:27 에 등록된 네이버 페이 구매평)",5,고객,
이거저거 챙겨바르기 귀찮아 하는 저에게 딱이에요. 전부터 올인원 제품 찾고 있었거든요. 촉촉한 느낌도 좋아서 몇개 더 쟁여두려고요.,5,고객,
한번 쓰기 시작하니 이제 이 제품만 쓰게되네요,5,고객,
처음 썬플랜 아이크림을 아이사 어릴때 이것저것 바를시간도 없을때 쓰다가 애들이 큰 지금도 쓰고있네요..게으른 저에겐 딱이예요..선물한 언니도 이걸로 갈아타고 지금은 남편도 같이써요^^,5,고객,
보습력이 다소 좀 부족한거 말고는 다 좋습니다ㅎㅎㅎ,5,고객,
